fname,datetime,date,hour,file_size
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240715_1810.wav,2024-07-15T18:10:00Z,2024-07-15,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240717_1700.wav,2024-07-17T17:00:00Z,2024-07-17,17,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1400.wav,2024-07-20T14:00:00Z,2024-07-20,14,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_1510.wav,2024-07-21T15:10:00Z,2024-07-21,15,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240722_0910.wav,2024-07-22T09:10:00Z,2024-07-22,9,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240723_0500.wav,2024-07-23T05:00:00Z,2024-07-23,5,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240723_1310.wav,2024-07-23T13:10:00Z,2024-07-23,13,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240723_1700.wav,2024-07-23T17:00:00Z,2024-07-23,17,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240727_1200.wav,2024-07-27T12:00:00Z,2024-07-27,12,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240729_0500.wav,2024-07-29T05:00:00Z,2024-07-29,5,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240730_0500.wav,2024-07-30T05:00:00Z,2024-07-30,5,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240731_1500.wav,2024-07-31T15:00:00Z,2024-07-31,15,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240802_1500.wav,2024-08-02T15:00:00Z,2024-08-02,15,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240803_1800.wav,2024-08-03T18:00:00Z,2024-08-03,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240805_0600.wav,2024-08-05T06:00:00Z,2024-08-05,6,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240805_1100.wav,2024-08-05T11:00:00Z,2024-08-05,11,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240806_0710.wav,2024-08-06T07:10:00Z,2024-08-06,7,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240806_1310.wav,2024-08-06T13:10:00Z,2024-08-06,13,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240807_1210.wav,2024-08-07T12:10:00Z,2024-08-07,12,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240807_1700.wav,2024-08-07T17:00:00Z,2024-08-07,17,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240808_0610.wav,2024-08-08T06:10:00Z,2024-08-08,6,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240808_1200.wav,2024-08-08T12:00:00Z,2024-08-08,12,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240811_0600.wav,2024-08-11T06:00:00Z,2024-08-11,6,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240812_1600.wav,2024-08-12T16:00:00Z,2024-08-12,16,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240813_0900.wav,2024-08-13T09:00:00Z,2024-08-13,9,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240818_0710.wav,2024-08-18T07:10:00Z,2024-08-18,7,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240818_0910.wav,2024-08-18T09:10:00Z,2024-08-18,9,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240820_1700.wav,2024-08-20T17:00:00Z,2024-08-20,17,111390764
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240821_1310.wav,2024-08-21T13:10:00Z,2024-08-21,13,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240821_1810.wav,2024-08-21T18:10:00Z,2024-08-21,18,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240822_0700.wav,2024-08-22T07:00:00Z,2024-08-22,7,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240822_0710.wav,2024-08-22T07:10:00Z,2024-08-22,7,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240822_1600.wav,2024-08-22T16:00:00Z,2024-08-22,16,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240822_1800.wav,2024-08-22T18:00:00Z,2024-08-22,18,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240825_0810.wav,2024-08-25T08:10:00Z,2024-08-25,8,111403052
