fname,datetime,date,hour,file_size
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_08_00_10/audio.wav,2022-07-15T08:00:00Z,2022-07-15,8,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_09_00_11/audio.wav,2022-07-15T09:00:00Z,2022-07-15,9,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_11_00_09/audio.wav,2022-07-15T11:00:00Z,2022-07-15,11,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_14_00_25/audio.wav,2022-07-15T14:00:00Z,2022-07-15,14,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_15_00_10/audio.wav,2022-07-15T15:00:00Z,2022-07-15,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_17_00_10/audio.wav,2022-07-15T17:00:00Z,2022-07-15,17,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220715_18_00_11/audio.wav,2022-07-15T18:00:00Z,2022-07-15,18,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_06_00_10/audio.wav,2022-07-16T06:00:00Z,2022-07-16,6,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_10_00_10/audio.wav,2022-07-16T10:00:00Z,2022-07-16,10,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_12_00_11/audio.wav,2022-07-16T12:00:00Z,2022-07-16,12,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_13_00_10/audio.wav,2022-07-16T13:00:00Z,2022-07-16,13,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_15_00_10/audio.wav,2022-07-16T15:00:00Z,2022-07-16,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220716_16_00_11/audio.wav,2022-07-16T16:00:00Z,2022-07-16,16,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_08_00_11/audio.wav,2022-07-17T08:00:00Z,2022-07-17,8,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_09_00_11/audio.wav,2022-07-17T09:00:00Z,2022-07-17,9,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_10_00_11/audio.wav,2022-07-17T10:00:00Z,2022-07-17,10,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_15_00_10/audio.wav,2022-07-17T15:00:00Z,2022-07-17,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_16_00_11/audio.wav,2022-07-17T16:00:00Z,2022-07-17,16,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_17_00_10/audio.wav,2022-07-17T17:00:00Z,2022-07-17,17,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220717_18_00_10/audio.wav,2022-07-17T18:00:00Z,2022-07-17,18,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_05_00_10/audio.wav,2022-07-18T05:00:00Z,2022-07-18,5,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_10_00_11/audio.wav,2022-07-18T10:00:00Z,2022-07-18,10,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_13_00_12/audio.wav,2022-07-18T13:00:00Z,2022-07-18,13,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_14_00_11/audio.wav,2022-07-18T14:00:00Z,2022-07-18,14,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_15_00_10/audio.wav,2022-07-18T15:00:00Z,2022-07-18,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_16_00_10/audio.wav,2022-07-18T16:00:00Z,2022-07-18,16,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220718_17_00_11/audio.wav,2022-07-18T17:00:00Z,2022-07-18,17,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_05_00_11/audio.wav,2022-07-19T05:00:00Z,2022-07-19,5,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_09_00_11/audio.wav,2022-07-19T09:00:00Z,2022-07-19,9,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_11_00_11/audio.wav,2022-07-19T11:00:00Z,2022-07-19,11,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_12_00_10/audio.wav,2022-07-19T12:00:00Z,2022-07-19,12,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_15_00_11/audio.wav,2022-07-19T15:00:00Z,2022-07-19,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220719_17_00_11/audio.wav,2022-07-19T17:00:00Z,2022-07-19,17,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_06_00_12/audio.wav,2022-07-20T06:00:00Z,2022-07-20,6,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_08_00_10/audio.wav,2022-07-20T08:00:00Z,2022-07-20,8,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_10_00_11/audio.wav,2022-07-20T10:00:00Z,2022-07-20,10,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_11_00_11/audio.wav,2022-07-20T11:00:00Z,2022-07-20,11,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_12_00_11/audio.wav,2022-07-20T12:00:00Z,2022-07-20,12,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_15_00_10/audio.wav,2022-07-20T15:00:00Z,2022-07-20,15,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_17_00_11/audio.wav,2022-07-20T17:00:00Z,2022-07-20,17,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220720_18_00_11/audio.wav,2022-07-20T18:00:00Z,2022-07-20,18,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220721_05_00_09/audio.wav,2022-07-21T05:00:00Z,2022-07-21,5,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220721_06_00_10/audio.wav,2022-07-21T06:00:00Z,2022-07-21,6,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220721_09_00_10/audio.wav,2022-07-21T09:00:00Z,2022-07-21,9,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220721_10_00_11/audio.wav,2022-07-21T10:00:00Z,2022-07-21,10,28800044
/home/okamoto/HDD10TB/cicadasong2022/records/NE03//20220721_11_00_10/audio.wav,2022-07-21T11:00:00Z,2022-07-21,11,28800044
