file_name,aburazemi,higurashi,minminzemi,niiniizemi,tsukutsukuboushi
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0100.wav,0.028944876,0.08594089,-0.004185062,0.0059569255,0.007595934
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0105.wav,0.016565531,0.0025961846,-0.0049760602,0.020051524,0.008423403
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0114.wav,0.02823899,0.09802452,-0.004711833,0.019370578,0.012344047
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0200.wav,0.0359162,0.15758426,-0.0022161826,0.010218263,0.086639434
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0210.wav,0.03630688,0.007467646,0.0035624355,0.018269598,0.01996836
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0300.wav,0.029031921,0.1225938,-0.0022258945,0.024262398,0.016407132
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0310.wav,0.029336065,0.088696316,0.00963283,0.03977056,0.0074057356
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0400.wav,0.06622642,0.11880241,0.014651369,0.98827606,0.023676135
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0410.wav,0.08936882,0.68981755,0.056319524,0.9889321,-0.007694483
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0500.wav,0.026611716,0.1579706,-0.001891531,0.010885522,0.006939508
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0510.wav,0.02417247,0.10104293,-0.004411705,0.00856255,0.016176157
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0600.wav,0.02810108,0.28835583,0.00053760037,0.029841468,0.023873448
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0610.wav,0.038473353,0.04453172,0.008328073,0.022980116,0.026491933
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0700.wav,0.022495486,0.0028813817,-0.007913027,0.0055594593,0.014742501
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0710.wav,0.05778621,0.01701548,0.049703326,0.96895677,0.020014524
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0800.wav,0.024554037,0.12621981,0.0009482093,0.011052176,0.03273736
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0810.wav,0.17751904,0.023886718,0.003969822,0.9604723,0.030104212
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0900.wav,0.03385721,0.21392149,-0.0030900724,0.017382145,0.24860734
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_0910.wav,0.10546381,0.124312654,0.073727086,0.98554534,0.14804532
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1000.wav,0.03411293,0.3394546,0.0032858364,0.016844377,0.07688753
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1010.wav,0.07631994,0.269534,0.35664627,0.9768816,0.024034604
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1100.wav,0.17488238,0.023389816,0.017282564,0.98151916,0.028343767
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1110.wav,0.0850784,0.020533428,0.003945265,0.95795053,0.041514426
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1200.wav,0.03184045,0.049607676,0.000924889,0.00858555,0.027512327
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1210.wav,0.034175724,0.058324113,0.0028620735,0.009966381,0.03114833
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1303.wav,0.048996653,0.012687698,0.00201549,0.71474,0.027119517
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1310.wav,0.07863206,0.47142625,0.09262632,0.97419685,0.021051697
../TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu/20240704_1400.wav,0.03170055,0.015554578,-0.0008827634,0.009983167,0.020732805
